sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,is_5g,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status,Total Sales
SAMS-00000093,2022-04-15,2022,Q2,April,Argentina,South America,La Plata,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome White,Yes,380.95,0,6,380.95,2285.7,ARS,907.0,2073129.9,Online (Samsung.com),Net Banking,Individual,45–54,New User,3.2,Returned,2285.7
SAMS-00000095,2022-05-24,2022,Q2,May,Argentina,South America,La Plata,Samsung Galaxy S24,Galaxy S,128 GB,Cream,Yes,848.49,7,2,789.1,1578.2,ARS,907.0,1431427.4,Carrier Store,EMI / Installment,Government,25–34,Android (Samsung),3.8,Kept,1696.98
SAMS-00000100,2023-02-01,2023,Q1,February,Argentina,South America,La Plata,Samsung Galaxy S24 Ultra,Galaxy S,1 TB,Titanium Black,Yes,1296.0,7,2,1205.28,2410.56,ARS,907.0,2186377.92,E-commerce Platform,Gift Card,Individual,55+,Android (Other),3.9,Kept,2592.0
SAMS-00000102,2023-04-11,2023,Q2,April,Argentina,South America,La Plata,Samsung Galaxy Z Fold 4,Galaxy Z,512 GB,Lavender,Yes,1544.37,2,2,1513.48,3026.96,ARS,907.0,2745452.72,Samsung Store,EMI / Installment,Education,45–54,iOS,2.8,Kept,3088.74
SAMS-00000105,2023-07-18,2023,Q3,July,Argentina,South America,La Plata,Samsung Galaxy S22+,Galaxy S,128 GB,Lime,Yes,961.44,3,1,932.6,932.6,ARS,907.0,845868.2,Samsung Store,Debit Card,Government,35–44,Android (Samsung),4.9,Kept,961.44
SAMS-00000112,2024-01-05,2024,Q1,January,Argentina,South America,La Plata,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome Lime,Yes,386.15,0,1,386.15,386.15,ARS,907.0,350238.05,Carrier Store,Cash,Enterprise,45–54,iOS,4.2,Kept,386.15
SAMS-00000115,2024-03-31,2024,Q1,March,Argentina,South America,La Plata,Samsung Galaxy M04,Galaxy M,128 GB,Deep Ocean Blue,No,90.11,15,1,76.59,76.59,ARS,907.0,69467.13,Third-Party Retailer,Net Banking,Enterprise,55+,New User,3.3,Kept,90.11
SAMS-00000117,2024-07-11,2024,Q3,July,Argentina,South America,La Plata,Samsung Galaxy S23 Ultra,Galaxy S,1 TB,Green,Yes,1301.43,3,3,1262.39,3787.17,ARS,907.0,3434963.19,Authorized Reseller,Cash,Business,25–34,Feature Phone,4.9,Kept,3904.29
SAMS-00000120,2024-10-29,2024,Q4,October,Argentina,South America,La Plata,Samsung Galaxy Z Fold 4,Galaxy Z,512 GB,Lavender,Yes,1732.97,3,3,1680.98,5042.94,ARS,907.0,4573946.58,Samsung Store,Cash,Enterprise,18–24,New User,2.6,Kept,5198.91
SAMS-00000125,2021-03-28,2021,Q1,March,Argentina,South America,Mar del Plata,Samsung Galaxy A14,Galaxy A,64 GB,Awesome White,No,168.52,20,4,134.82,539.28,ARS,907.0,489126.96,Third-Party Retailer,Cash,Business,55+,Android (Samsung),4.1,Kept,674.08
SAMS-00000126,2021-05-31,2021,Q2,May,Argentina,South America,Mar del Plata,Samsung Galaxy S23 Ultra,Galaxy S,1 TB,Titanium Black,Yes,1228.56,0,1,1228.56,1228.56,ARS,907.0,1114303.92,Online (Samsung.com),Credit Card,Education,45–54,Android (Other),3.8,Kept,1228.56
SAMS-00000135,2022-04-24,2022,Q2,April,Argentina,South America,Mar del Plata,Samsung Galaxy A34 5G,Galaxy A,256 GB,Awesome Graphite,Yes,433.85,15,5,368.77,1843.85,ARS,907.0,1672371.95,Online (Samsung.com),Credit Card,Education,45–54,Android (Other),3.7,Kept,2169.25
SAMS-00000139,2022-09-10,2022,Q3,September,Argentina,South America,Mar del Plata,Samsung Galaxy A14 5G,Galaxy A,256 GB,Awesome Lime,Yes,206.76,0,2,206.76,413.52,ARS,907.0,375062.64,Corporate / B2B,Cash,Education,18–24,Android (Samsung),4.7,Kept,413.52
SAMS-00000147,2024-02-12,2024,Q1,February,Argentina,South America,Mar del Plata,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Graphite,Yes,937.26,2,1,918.51,918.51,ARS,907.0,833088.57,Carrier Store,Debit Card,Business,18–24,Android (Other),4.3,Kept,937.26
SAMS-00000150,2021-02-19,2021,Q1,February,Argentina,South America,Mendoza,Samsung Galaxy S22,Galaxy S,512 GB,Graph,Yes,704.37,3,1,683.24,683.24,ARS,907.0,619698.68,Samsung Store,Samsung Pay,Business,55+,Android (Other),4.1,Kept,704.37
SAMS-00000151,2021-03-20,2021,Q1,March,Argentina,South America,Mendoza,Samsung Galaxy A53 5G,Galaxy A,256 GB,Awesome Peach,Yes,422.2,7,5,392.65,1963.25,ARS,907.0,1780667.75,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,18–24,Android (Other),4.5,Kept,2111.0
SAMS-00000152,2021-04-25,2021,Q2,April,Argentina,South America,Mendoza,Samsung Galaxy S22 Ultra,Galaxy S,1 TB,Phantom Black,Yes,1124.84,0,1,1124.84,1124.84,ARS,907.0,1020229.88,Online (Samsung.com),Credit Card,Government,18–24,Feature Phone,2.8,Kept,1124.84
SAMS-00000156,2021-06-03,2021,Q2,June,Argentina,South America,Mendoza,Samsung Galaxy S23 Ultra,Galaxy S,512 GB,Green,Yes,1194.93,2,3,1171.03,3513.09,ARS,907.0,3186372.63,Authorized Reseller,Credit Card,Education,35–44,Android (Samsung),4.4,Kept,3584.79
SAMS-00000162,2022-03-02,2022,Q1,March,Argentina,South America,Mendoza,Samsung Galaxy M34 5G,Galaxy M,128 GB,Dark Blue,Yes,259.03,3,9,251.26,2261.34,ARS,907.0,2051035.38,Third-Party Retailer,Debit Card,Business,35–44,Android (Samsung),4.7,Kept,2331.2699999999995
SAMS-00000166,2022-06-17,2022,Q2,June,Argentina,South America,Mendoza,Samsung Galaxy A34 5G,Galaxy A,128 GB,Awesome Lime,Yes,433.09,12,1,381.12,381.12,ARS,907.0,345675.84,Online (Samsung.com),BNPL (Buy Now Pay Later),Education,45–54,iOS,4.0,Kept,433.09
SAMS-00000169,2022-10-24,2022,Q4,October,Argentina,South America,Mendoza,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Violet,Yes,768.54,10,1,691.69,691.69,ARS,907.0,627362.83,E-commerce Platform,EMI / Installment,Business,18–24,iOS,3.6,Kept,768.54
SAMS-00000188,2021-05-20,2021,Q2,May,Argentina,South America,Rosario,Samsung Galaxy M54 5G,Galaxy M,64 GB,Deep Ocean Blue,Yes,333.13,0,3,333.13,999.39,ARS,907.0,906446.73,E-commerce Platform,Net Banking,Individual,55+,New User,4.4,Kept,999.39
SAMS-00000189,2021-07-01,2021,Q3,July,Argentina,South America,Rosario,Samsung Galaxy Z Fold 5,Galaxy Z,256 GB,Blue,Yes,1814.38,10,1,1632.94,1632.94,ARS,907.0,1481076.58,Corporate / B2B,Samsung Pay,Government,55+,Android (Samsung),3.0,Kept,1814.38
SAMS-00000200,2022-06-15,2022,Q2,June,Argentina,South America,Rosario,Samsung Galaxy A14 5G,Galaxy A,64 GB,Awesome Black,Yes,187.86,20,1,150.29,150.29,ARS,907.0,136313.03,Online (Samsung.com),Gift Card,Individual,35–44,Android (Other),3.4,Returned,187.86
SAMS-00000204,2022-10-15,2022,Q4,October,Argentina,South America,Rosario,Samsung Galaxy M04,Galaxy M,128 GB,Waterfall Blue,No,104.03,0,2,104.03,208.06,ARS,907.0,188710.42,Online (Samsung.com),Debit Card,Business,18–24,New User,3.7,Kept,208.06
SAMS-00000206,2022-12-30,2022,Q4,December,Argentina,South America,Rosario,Samsung Galaxy Z Fold 5,Galaxy Z,1 TB,Icy Blue,Yes,1790.31,0,2,1790.31,3580.62,ARS,907.0,3247622.34,Online (Samsung.com),BNPL (Buy Now Pay Later),Enterprise,35–44,New User,3.6,Kept,3580.62
SAMS-00000209,2023-06-12,2023,Q2,June,Argentina,South America,Rosario,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Cream,Yes,1002.06,0,2,1002.06,2004.12,ARS,907.0,1817736.84,Carrier Store,Net Banking,Business,45–54,Android (Samsung),3.5,Returned,2004.12
SAMS-00000213,2023-08-25,2023,Q3,August,Argentina,South America,Rosario,Samsung Galaxy S23,Galaxy S,512 GB,Lavender,Yes,829.25,2,1,812.66,812.66,ARS,907.0,737082.62,Samsung Store,Net Banking,Enterprise,18–24,Feature Phone,4.6,Kept,829.25
SAMS-00000218,2024-03-08,2024,Q1,March,Argentina,South America,Rosario,Samsung Galaxy S21 FE,Galaxy S,256 GB,Titanium Gray,No,533.0,15,1,453.05,453.05,ARS,907.0,410916.35,Online (Samsung.com),Cash,Education,25–34,Android (Samsung),3.5,Kept,533.0
SAMS-00000222,2024-09-06,2024,Q3,September,Argentina,South America,Rosario,Samsung Galaxy S23,Galaxy S,1 TB,Lavender,Yes,812.78,0,4,812.78,3251.12,ARS,907.0,2948765.84,Online (Samsung.com),Cash,Education,25–34,New User,4.1,Kept,3251.12
SAMS-00000227,2021-04-29,2021,Q2,April,Argentina,South America,Salta,Samsung Galaxy A33 5G,Galaxy A,128 GB,Awesome Peach,Yes,318.85,0,5,318.85,1594.25,ARS,907.0,1445984.75,Authorized Reseller,Gift Card,Individual,55+,Android (Other),4.2,Kept,1594.25
SAMS-00000228,2021-05-17,2021,Q2,May,Argentina,South America,Salta,Samsung Galaxy S24+,Galaxy S,128 GB,Titanium Gray,Yes,1077.28,0,2,1077.28,2154.56,ARS,907.0,1954185.92,Online (Samsung.com),Cash,Government,45–54,New User,3.1,Kept,2154.56
SAMS-00000232,2021-08-31,2021,Q3,August,Argentina,South America,Salta,Samsung Galaxy A34 5G,Galaxy A,128 GB,Awesome Violet,Yes,417.1,3,3,404.59,1213.77,ARS,907.0,1100889.39,Authorized Reseller,EMI / Installment,Business,35–44,iOS,4.2,Kept,1251.3000000000002
SAMS-00000236,2022-07-24,2022,Q3,July,Argentina,South America,Salta,Samsung Galaxy A53 5G,Galaxy A,128 GB,Awesome Peach,Yes,397.12,0,1,397.12,397.12,ARS,907.0,360187.84,Online (Samsung.com),Debit Card,Enterprise,25–34,New User,4.5,Kept,397.12
SAMS-00000239,2022-11-18,2022,Q4,November,Argentina,South America,Salta,Samsung Galaxy A34 5G,Galaxy A,128 GB,Awesome Black,Yes,365.03,12,2,321.23,642.46,ARS,907.0,582711.22,Third-Party Retailer,BNPL (Buy Now Pay Later),Government,25–34,Feature Phone,2.6,Kept,730.06
SAMS-00000240,2022-12-28,2022,Q4,December,Argentina,South America,Salta,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Violet,Yes,749.66,7,5,697.18,3485.9,ARS,907.0,3161711.3,Online (Samsung.com),Gift Card,Government,25–34,Feature Phone,3.4,Kept,3748.2999999999997
SAMS-00000241,2022-12-29,2022,Q4,December,Argentina,South America,Salta,Samsung Galaxy Z Fold 5,Galaxy Z,256 GB,Gray,Yes,1692.72,0,2,1692.72,3385.44,ARS,907.0,3070594.08,Third-Party Retailer,Samsung Pay,Enterprise,25–34,iOS,4.8,Kept,3385.44
SAMS-00000243,2023-01-05,2023,Q1,January,Argentina,South America,Salta,Samsung Galaxy S24+,Galaxy S,1 TB,Cream,Yes,972.13,7,4,904.08,3616.32,ARS,907.0,3280002.24,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,35–44,Android (Samsung),3.3,Kept,3888.52
SAMS-00000244,2023-03-21,2023,Q1,March,Argentina,South America,Salta,Samsung Galaxy S22,Galaxy S,512 GB,Graph,Yes,681.73,5,1,647.64,647.64,ARS,907.0,587409.48,E-commerce Platform,Samsung Pay,Education,18–24,New User,3.3,Returned,681.73
SAMS-00000248,2023-05-22,2023,Q2,May,Argentina,South America,Salta,Samsung Galaxy M34 5G,Galaxy M,128 GB,Icy Blue,Yes,227.01,0,1,227.01,227.01,ARS,907.0,205898.07,Online (Samsung.com),Gift Card,Enterprise,55+,New User,3.8,Kept,227.01
SAMS-00000250,2024-01-14,2024,Q1,January,Argentina,South America,Salta,Samsung Galaxy M14 5G,Galaxy M,64 GB,Deep Ocean Blue,Yes,174.54,20,9,139.63,1256.67,ARS,907.0,1139799.69,Online (Samsung.com),Credit Card,Business,35–44,Feature Phone,3.9,Kept,1570.86
SAMS-00000252,2024-01-29,2024,Q1,January,Argentina,South America,Salta,Samsung Galaxy A14 5G,Galaxy A,64 GB,Awesome Black,Yes,184.55,15,1,156.87,156.87,ARS,907.0,142281.09,E-commerce Platform,Net Banking,Education,45–54,Android (Samsung),4.1,Kept,184.55
SAMS-00000253,2024-03-30,2024,Q1,March,Argentina,South America,Salta,Samsung Galaxy S22,Galaxy S,512 GB,Graph,Yes,661.03,5,1,627.98,627.98,ARS,907.0,569577.86,E-commerce Platform,Net Banking,Education,55+,Android (Samsung),4.6,Exchanged,661.03
SAMS-00000260,2024-12-31,2024,Q4,December,Argentina,South America,Salta,Samsung Galaxy A33 5G,Galaxy A,256 GB,Awesome Violet,Yes,366.33,15,3,311.38,934.14,ARS,907.0,847264.98,Corporate / B2B,Cash,Government,35–44,Android (Samsung),4.3,Returned,1098.99
SAMS-00000262,2021-03-22,2021,Q1,March,Argentina,South America,Tucumán,Samsung Galaxy A04s,Galaxy A,64 GB,Awesome Peach,No,145.4,0,1,145.4,145.4,ARS,907.0,131877.8,Authorized Reseller,Net Banking,Enterprise,25–34,Feature Phone,4.5,Kept,145.4
SAMS-00000264,2021-05-27,2021,Q2,May,Argentina,South America,Tucumán,Samsung Galaxy S23+,Galaxy S,1 TB,Phantom White,Yes,917.68,0,1,917.68,917.68,ARS,907.0,832335.76,Corporate / B2B,Samsung Pay,Education,25–34,Feature Phone,4.6,Kept,917.68
SAMS-00000271,2022-03-28,2022,Q1,March,Argentina,South America,Tucumán,Samsung Galaxy S24+,Galaxy S,256 GB,Lime,Yes,1022.61,20,2,818.09,1636.18,ARS,907.0,1484015.26,Third-Party Retailer,EMI / Installment,Government,45–54,Feature Phone,4.4,Kept,2045.22
SAMS-00000272,2022-04-09,2022,Q2,April,Argentina,South America,Tucumán,Samsung Galaxy S24 Ultra,Galaxy S,128 GB,Lavender,Yes,1298.83,15,1,1104.01,1104.01,ARS,907.0,1001337.07,Samsung Store,Cash,Education,45–54,Android (Other),4.6,Kept,1298.83
SAMS-00000273,2022-05-17,2022,Q2,May,Argentina,South America,Tucumán,Samsung Galaxy M34 5G,Galaxy M,64 GB,Midnight Blue,Yes,242.65,0,4,242.65,970.6,ARS,907.0,880334.2,Samsung Store,Gift Card,Education,18–24,Android (Samsung),4.5,Returned,970.6
SAMS-00000278,2023-02-08,2023,Q1,February,Argentina,South America,Tucumán,Samsung Galaxy Z Flip 4,Galaxy Z,256 GB,Graphite,Yes,863.33,20,1,690.66,690.66,ARS,907.0,626428.62,Authorized Reseller,EMI / Installment,Enterprise,18–24,New User,3.9,Kept,863.33
SAMS-00000279,2023-02-12,2023,Q1,February,Argentina,South America,Tucumán,Samsung Galaxy M04,Galaxy M,128 GB,Deep Ocean Blue,No,105.11,10,2,94.6,189.2,ARS,907.0,171604.4,Third-Party Retailer,Cash,Enterprise,25–34,New User,4.4,Exchanged,210.22
SAMS-00000281,2023-05-22,2023,Q2,May,Argentina,South America,Tucumán,Samsung Galaxy M54 5G,Galaxy M,128 GB,Dark Blue,Yes,329.61,0,2,329.61,659.22,ARS,907.0,597912.54,Samsung Store,Net Banking,Business,18–24,New User,3.6,Kept,659.22
SAMS-00000290,2024-06-05,2024,Q2,June,Argentina,South America,Tucumán,Samsung Galaxy A04,Galaxy A,128 GB,Awesome Violet,No,104.57,20,3,83.66,250.98,ARS,907.0,227638.86,Third-Party Retailer,Gift Card,Business,55+,Feature Phone,3.0,Kept,313.71
SAMS-00000318,2024-07-27,2024,Q3,July,Australia,Oceania,Adelaide,Samsung Galaxy A14 5G,Galaxy A,128 GB,Awesome Black,Yes,184.1,20,1,147.28,147.28,AUD,1.53,225.34,Online (Samsung.com),Debit Card,Individual,35–44,Android (Samsung),3.5,Kept,184.1
SAMS-00000321,2024-09-17,2024,Q3,September,Australia,Oceania,Adelaide,Samsung Galaxy Z Flip 3,Galaxy Z,256 GB,Cream,Yes,753.97,0,2,753.97,1507.94,AUD,1.53,2307.15,Samsung Store,BNPL (Buy Now Pay Later),Business,55+,iOS,4.1,Kept,1507.94
SAMS-00000322,2024-10-24,2024,Q4,October,Australia,Oceania,Adelaide,Samsung Galaxy S23 FE,Galaxy S,1 TB,Graph,Yes,646.42,3,6,627.03,3762.18,AUD,1.53,5756.14,Authorized Reseller,Net Banking,Government,35–44,New User,3.1,Kept,3878.5199999999995
SAMS-00000325,2021-01-04,2021,Q1,January,Australia,Oceania,Brisbane,Samsung Galaxy M54 5G,Galaxy M,128 GB,Prism Black,Yes,355.55,0,2,355.55,711.1,AUD,1.53,1087.98,Third-Party Retailer,Credit Card,Business,55+,New User,4.8,Exchanged,711.1
SAMS-00000332,2021-12-04,2021,Q4,December,Australia,Oceania,Brisbane,Samsung Galaxy A34 5G,Galaxy A,256 GB,Awesome Lime,Yes,430.57,15,2,365.98,731.96,AUD,1.53,1119.9,Third-Party Retailer,Cash,Enterprise,45–54,iOS,2.5,Kept,861.14
SAMS-00000333,2021-12-13,2021,Q4,December,Australia,Oceania,Brisbane,Samsung Galaxy M54 5G,Galaxy M,128 GB,Waterfall Blue,Yes,354.03,15,4,300.93,1203.72,AUD,1.53,1841.69,Authorized Reseller,BNPL (Buy Now Pay Later),Individual,45–54,Android (Samsung),3.6,Returned,1416.12
SAMS-00000335,2022-01-26,2022,Q1,January,Australia,Oceania,Brisbane,Samsung Galaxy S23+,Galaxy S,512 GB,Titanium Violet,Yes,1005.61,0,1,1005.61,1005.61,AUD,1.53,1538.58,Third-Party Retailer,Cash,Government,45–54,New User,4.2,Kept,1005.61
SAMS-00000340,2022-12-02,2022,Q4,December,Australia,Oceania,Brisbane,Samsung Galaxy Z Fold 5,Galaxy Z,256 GB,Lavender,Yes,1846.68,0,4,1846.68,7386.72,AUD,1.53,11301.68,Authorized Reseller,Cash,Individual,55+,New User,4.3,Kept,7386.72
SAMS-00000343,2023-02-28,2023,Q1,February,Australia,Oceania,Brisbane,Samsung Galaxy A14 5G,Galaxy A,64 GB,Awesome Graphite,Yes,205.33,5,1,195.06,195.06,AUD,1.53,298.44,E-commerce Platform,Gift Card,Individual,55+,New User,3.4,Kept,205.33
SAMS-00000346,2023-05-06,2023,Q2,May,Australia,Oceania,Brisbane,Samsung Galaxy A04s,Galaxy A,128 GB,Awesome Lime,No,142.29,0,1,142.29,142.29,AUD,1.53,217.7,Third-Party Retailer,EMI / Installment,Enterprise,25–34,Android (Samsung),2.8,Kept,142.29
SAMS-00000350,2024-10-10,2024,Q4,October,Australia,Oceania,Brisbane,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Yellow,Yes,793.13,12,1,697.95,697.95,AUD,1.53,1067.86,Carrier Store,Net Banking,Government,35–44,New User,3.9,Returned,793.13
SAMS-00000355,2021-01-12,2021,Q1,January,Australia,Oceania,Canberra,Samsung Galaxy S23 Ultra,Galaxy S,512 GB,Titanium Violet,Yes,1160.27,2,1,1137.06,1137.06,AUD,1.53,1739.7,Samsung Store,EMI / Installment,Education,45–54,Android (Other),4.0,Exchanged,1160.27
